intercept,block-mean,block-lin,derivative-1,derivative-2,derivative-3,derivative-4
1.0,-1.1578705846844617,0.0012665257090972344,0.008638891071429487,0.5925586768561655,-0.0007315806153985427,-0.0002526084485894709
1.0,-1.1578705846844617,0.0012665257090972344,0.008638891071429487,0.5925586768561651,-0.0007315806153985425,-0.0002526084485896719
1.0,-1.1578705846844617,0.0012665257090972344,0.008638891071429487,0.5925586768561651,-0.0007315806153985425,-0.0002526084485896719
1.0,-1.1578705846844617,0.0012665257090972344,0.008638891071429487,0.5925586768561651,-0.0007315806153985425,-0.0002526084485896719
1.0,-1.1578705846844617,0.0012665257090972344,0.008638891071429487,0.5925586768561651,-0.0007315806153985425,-0.0002526084485896719
1.0,-1.1578705846844617,0.0012665257090972344,0.008638891071429487,0.5925586768561651,-0.0007315806153985425,-0.0002526084485896719
1.0,-1.1576999783811208,0.0010895340807543022,0.016040061070397536,0.5802561215019023,-0.012862614451374306,0.018538501589645023
1.0,-1.1336390718053355,-0.023871906093854683,0.42163592488165685,-0.1396020785339955,-0.6777302447012105,1.1115316264382018
1.0,-0.9781463459535846,-0.18518429728369745,1.6221843898538317,-1.87923488323282,-2.6464789362825942,3.7094310159183475
1.0,-0.6327636962591494,-0.5434936702302635,2.7529878071840135,-2.3563677190643837,-4.502799441819132,4.2872733546578745
1.0,-0.17693243968402927,-1.016385437831721,3.0976793626960983,-0.9108362667505941,-5.071806893013792,1.8674381938814
1.0,0.26781494385576365,-1.4777784934955032,2.720281255744705,1.0623585164637879,-4.4569054242632395,-1.3583021168210916
1.0,0.6238160594727518,-1.8471037523579672,2.0162282696800964,2.302545659326066,-3.305335823241287,-3.4225048461930885
1.0,0.8700249203780441,-2.102527534192151,1.3053643833218695,2.5264171905331323,-2.1413065239397646,-3.880445025238109
1.0,1.0191803421137473,-2.257265433391728,0.7314933494952979,2.0634010452865743,-1.200911128956665,-3.2417804188109747
1.0,1.0948620207259985,-2.335779669214201,0.3176952438929561,1.3452174405359358,-0.5223989692997345,-2.178242018667408
1.0,1.1194454888072618,-2.3612832289351138,0.038786547468749884,0.6627498756070863,-0.06478348333972328,-1.145551531365549
1.0,1.1106399927034236,-2.352148167315079,-0.1372319791285317,0.1412428808032303,0.22422458096260917,-0.3436944598802893
1.0,1.0817934974705952,-2.3222220270537623,-0.23607339190042465,-0.2022615355285171,0.3866963786832756,0.19504414988979296
1.0,1.042903003501805,-2.28187596879094,-0.2774254424170544,-0.3997207625424952,0.4548720587297045,0.5149624006260579
1.0,1.0012822648138593,-2.238697480253532,-0.2778086670467607,-0.4951031561753466,0.45582202420860135,0.6799863392019829
1.0,0.9619036102595567,-2.197844990896251,-0.2519147832270911,-0.5273668970393082,0.41362971121924014,0.7474447653779122
1.0,0.9276816475599764,-2.1623421941960235,-0.21233628993740375,-0.5252810964121701,0.3489433530124412,0.7600107697593731
1.0,0.899852058074137,-2.133471019668718,-0.1688168210301858,-0.5077017549647848,0.27774438214276714,0.7459547321913362
1.0,0.8784401558188534,-2.1112577287652186,-0.12787641619150128,-0.48572414598601177,0.2107311653590677,0.7222281751531902
1.0,0.8627359244869415,-2.09496573121953,-0.09304787092019116,-0.4650720379359603,0.15370493280083464,0.6979048207061975
1.0,0.8516942462930602,-2.0835107933602384,-0.06554832601561049,-0.4481054528735484,0.10866970749497341,0.6770698334411818
1.0,0.8442185583409372,-2.075755310955898,-0.04509185194080207,-0.4352938504575555,0.07516388673991689,0.6609430395114606
1.0,0.8393267940899443,-2.070680461414596,-0.030613529171384404,-0.4261932197976379,0.05144715339016289,0.649296511000125
1.0,0.8362234411203414,-2.067460958473281,-0.020795245879967745,-0.42003259364363915,0.03536260134098382,0.6413176753544609
1.0,0.8343095768332752,-2.065475463506437,-0.014381808574300941,-0.4160256327725924,0.024855236380602715,0.6360805626870049
1.0,0.8331595258836507,-2.064282369310822,-0.010329466000616426,-0.413507419607559,0.01821576668652825,0.6327653026030181
1.0,0.8324847850655841,-2.0635823747985422,-0.007844252707645707,-0.41197187110129907,0.014143734317043955,0.6307316980168883
1.0,0.8320975667823515,-2.063180663999284,-0.006360721518666734,-0.4110604299935051,0.01171286567519601,0.6295186116771059
1.0,0.8318876754961017,-2.0629629170591017,-0.005528209375925689,-0.41055168339367565,0.010348691048130071,0.6288386649302307
1.0,0.8318876754961017,-2.0629629170591017,-0.005528209375925689,-0.41055168339367565,0.010348691048130071,0.6288386649302307
1.0,0.8318876754961017,-2.0629629170591017,-0.005528209375925689,-0.41055168339367565,0.010348691048130071,0.6288386649302307
1.0,0.8318876754961017,-2.0629629170591017,-0.005528209375925689,-0.41055168339367565,0.010348691048130071,0.6288386649302307
1.0,0.8318876754961017,-2.0629629170591017,-0.005528209375925689,-0.41055168339367565,0.010348691048130071,0.6288386649302307
1.0,0.8318876754961017,-2.0629629170591017,-0.005528209375925689,-0.41055168339367565,0.010348691048130071,0.6288386649302307
1.0,0.8318876754961017,-2.0629629170591017,-0.005528209375925689,-0.41055168339367565,0.010348691048130071,0.6288386649302307
1.0,0.8318876754961017,-2.0629629170591017,-0.005528209375925689,-0.41055168339367565,0.010348691048130071,0.6288386649302307
1.0,0.8318876754961017,-2.0629629170591017,-0.005528209375925689,-0.41055168339367565,0.010348691048130071,0.6288386649302307
1.0,0.8318876754961017,-2.0629629170591017,-0.005528209375925689,-0.41055168339367565,0.010348691048130071,0.6288386649302307
1.0,0.8318876754961017,-2.0629629170591017,-0.005528209375925689,-0.41055168339367565,0.010348691048130071,0.6288386649302307
1.0,0.8318876754961017,-2.0629629170591017,-0.005528209375925689,-0.41055168339367565,0.010348691048130071,0.6288386649302307
1.0,0.8318876754961017,-2.0629629170591017,-0.005528209375925689,-0.41055168339367565,0.010348691048130071,0.6288386649302307
1.0,0.8318876754961017,-2.0629629170591017,-0.005528209375925689,-0.41055168339367565,0.010348691048130071,0.6288386649302307
1.0,0.8318876754961017,-2.0629629170591017,-0.005528209375925689,-0.41055168339367565,0.010348691048130071,0.6288386649302307
1.0,0.8318876754961017,-2.0629629170591017,-0.005528209375925689,-0.41055168339367565,0.010348691048130071,0.6288386649302307
1.0,0.8318876754961017,-2.0629629170591017,-0.005528209375925689,-0.41055168339367565,0.010348691048130071,0.6288386649302307
1.0,0.8318876754961017,-2.0629629170591017,-0.005528209375925689,-0.41055168339367565,0.010348691048130071,0.6288386649302307
1.0,0.8318876754961017,-2.0629629170591017,-0.005528209375925689,-0.41055168339367565,0.010348691048130071,0.6288386649302307
1.0,0.8318876754961017,-2.0629629170591017,-0.005528209375925689,-0.41055168339367565,0.010348691048130071,0.6288386649302307
1.0,0.8318876754961017,-2.0629629170591017,-0.005528209375925689,-0.41055168339367565,0.010348691048130071,0.6288386649302307
1.0,0.8318876754961017,-2.0629629170591017,-0.005528209375925689,-0.41055168339367565,0.010348691048130071,0.6288386649302307
1.0,0.8318876754961017,-2.0629629170591017,-0.005528209375925689,-0.41055168339367565,0.010348691048130071,0.6288386649302307
1.0,0.8318876754961017,-2.0629629170591017,-0.005528209375925689,-0.41055168339367565,0.010348691048130071,0.6288386649302307
1.0,0.8318876754961017,-2.0629629170591017,-0.005528209375925689,-0.41055168339367565,0.010348691048130071,0.6288386649302307
1.0,0.8318876754951041,-2.0629629170580666,-0.005528209449701485,-0.4105516830968664,0.010348691168948465,0.6288386644758888
1.0,0.8291077328075721,-2.060078928756748,-0.08215396285572249,-0.27589703617492245,0.13594591709566148,0.42359904020123573
1.0,0.7651659475390342,-1.9937439782173298,-0.8578533094161992,1.0433828008470083,1.4076487068039636,-1.570610730597951
1.0,0.5282241936807935,-1.7479341457752056,-2.162480666219889,2.5236534681086225,3.547745974617369,-3.734662399036882
1.0,0.12155963114695502,-1.3260492464323972,-3.001043155108228,2.1058651159799995,4.9257352022294265,-2.9130117399778603
1.0,-0.34295267495827003,-0.8441515214778363,-3.002782349372234,0.23525496721238956,4.9326420580025045,0.1630963824445844
1.0,-0.7563175382526903,-0.41531554753356326,-2.439012086952717,-1.5273921184991084,4.011789226261281,3.052893656332119
